State_CD,County_CD,State,County,Size
1,1,AL,Autauga County,H1
1,3,AL,Baldwin County,H1
1,5,AL,Barbour County,H1
1,7,AL,Bibb County,H1
1,9,AL,Blount County,H1
1,11,AL,Bullock County,H1
1,13,AL,Butler County,H1
1,15,AL,Calhoun County,H1
1,17,AL,Chambers County,H1
1,19,AL,Cherokee County,H1
1,21,AL,Chilton County,H1
1,23,AL,Choctaw County,H1
1,25,AL,Clarke County,H1
1,27,AL,Clay County,H1
1,29,AL,Cleburne County,H1
1,31,AL,Coffee County,H1
1,33,AL,Colbert County,H1
1,35,AL,Conecuh County,H1
1,37,AL,Coosa County,H1
1,39,AL,Covington County,H1
1,41,AL,Crenshaw County,H1
1,43,AL,Cullman County,H1
1,45,AL,Dale County,H1
1,47,AL,Dallas County,H1
1,49,AL,DeKalb County,H1
1,51,AL,Elmore County,H1
1,53,AL,Escambia County,H1
1,55,AL,Etowah County,H1
1,57,AL,Fayette County,H1
1,59,AL,Franklin County,H1
1,61,AL,Geneva County,H1
1,63,AL,Greene County,H1
1,65,AL,Hale County,H1
1,67,AL,Henry County,H1
1,69,AL,Houston County,H1
1,71,AL,Jackson County,H1
1,73,AL,Jefferson County,H1
1,75,AL,Lamar County,H1
1,77,AL,Lauderdale County,H1
1,79,AL,Lawrence County,H1
1,81,AL,Lee County,H1
1,83,AL,Limestone County,H1
1,85,AL,Lowndes County,H1
1,87,AL,Macon County,H1
1,89,AL,Madison County,H1
1,91,AL,Marengo County,H1
1,93,AL,Marion County,H1
1,95,AL,Marshall County,H1
1,97,AL,Mobile County,H1
1,99,AL,Monroe County,H1
1,101,AL,Montgomery County,H1
1,103,AL,Morgan County,H1
1,105,AL,Perry County,H1
1,107,AL,Pickens County,H1
1,109,AL,Pike County,H1
1,111,AL,Randolph County,H1
1,113,AL,Russell County,H1
1,115,AL,St. Clair County,H1
1,117,AL,Shelby County,H1
1,119,AL,Sumter County,H1
1,121,AL,Talladega County,H1
1,123,AL,Tallapoosa County,H1
1,125,AL,Tuscaloosa County,H1
1,127,AL,Walker County,H1
1,129,AL,Washington County,H1
1,131,AL,Wilcox County,H1
1,133,AL,Winston County,H1
2,13,AK,Aleutians East Borough,H1
