60-35-5,High,Acetamide,Single Compound,,C2H5NO,59.0672
103-90-2,Low,Acetaminophen,Single Compound,,C8H9NO2,151.1626
968-81-0,Low,Acetohexamide,Single Compound,,C15H20N2O4S,324.3953
75-05-8,Low,Acetonitrile,Single Compound,,C2H3N,41.0519
520-45-6,Low,Dehydroacetic acid,Single Compound,,C8H8O4,168.1467
114-83-0,Low,1-Acetyl-2-phenylhydrazine,Single Compound,,C8H10N2O,150.1778
18699-02-0,Low,4-Acetylaminophenylacetic acid,Single Compound,,C10H11NO3,193.1992
616-91-1,Low,N-Acetyl-L-cysteine,Single Compound,,C5H9NO3S,163.1949
50594-66-6,Low,Acifluorfen,Single Compound,,C14H7ClF3NO5,361.6573
107-02-8,Low,Acrolein,Single Compound,,C3H4O,56.0633
3054-95-3,Low,Acrolein diethylacetal,Single Compound,,C7H14O2,130.1849
79-06-1,Low,Acrylamide,Single Compound,,C3H5NO,71.0779
107-13-1,Low,Acrylonitrile,Single Compound,,C3H3N,53.0626
50-76-0,Low,Actinomycin D,Single Compound,,C62H86N12O16,1255.4171
628-94-4,Low,Adipamide,Single Compound,,C6H12N2O2,144.1717
22131-79-9,Low,Alclofenac,Single Compound,,C11H11ClO3,226.6563
309-00-2,High,Aldrin,Mixture of Stereoisomers,,C12H8Cl6,364.9099
97-59-6,Low,Allantoin,Mixture of Stereoisomers,,C4H6N4O3,158.1154
107-18-6,Low,Allyl alcohol,Single Compound,,C3H6O,58.0791
57-06-7,Low,Allyl isothiocyanate,Single Compound,,C4H5NS,99.1542
17026-81-2,Low,3-Amino-4-ethoxyacetanilide,Single Compound,,C10H14N2O2,194.2304
6109-97-3,Low,3-Amino-9-ethylcarbazole hydrochloride,Single Compound,,C14H15ClN2,246.7353
82-28-0,Low,1-Amino-2-methylanthraquinone,Single Compound,,C15H11NO2,237.2533
3775-55-1,Low,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole",Single Compound,,C6H4N4O4,196.1204
99-57-0,Low,2-Amino-4-nitrophenol,Single Compound,,C6H6N2O3,154.1234
121-88-0,Low,2-Amino-5-nitrophenol,Single Compound,,C6H6N2O3,154.1234
119-34-6,Low,4-Amino-2-nitrophenol,Single Compound,,C6H6N2O3,154.1234
121-66-4,Low,2-Amino-5-nitrothiazole,Single Compound,,C3H3N3O2S,145.1398
117-79-3,Low,2-Aminoanthraquinone,Single Compound,,C14H9NO2,223.2268
97-56-3,Low,2-Amino-5-azotoluene,Single Compound,,C14H15N3,225.289
60-32-2,Low,6-Aminocaproic acid,Single Compound,,C6H13NO2,131.1729
92-67-1,Low,4-Biphenylamine,Single Compound,,C12H11N,169.2224
2113-61-3,Low,4-Biphenylamine hydrochloride,Single Compound,,C12H12ClN,205.6834
60142-96-3,Low,Gabapentin,Single Compound,,C9H17NO2,171.2368
61-82-5,Low,Amitrole,Single Compound,,C2H4N4,84.08
3012-65-5,Low,Ammonium citrate (2:1),Single Compound,,C6H14N2O7,226.1846
57-43-2,Low,Amobarbital,Single Compound,,C11H18N2O3,226.2722
7177-48-2,Low,Ampicillin trihydrate,Single Compound,,C16H25N3O7S,403.4506
104-46-1,Low,Anethole,Mixture of Stereoisomers,,C10H12O,148.2017
4180-23-8,High,(E)-Anethole,Single Compound,,C10H12O,148.2017
15879-93-3,High,Chloralose,Single Compound,absolute stereochem; same CAS has been assigned for mixture (alpha- beta-) and alpha-; only assigned to alpha- form in DSSTox,C8H11Cl3O6,309.5284
101-05-3,Low,Anilazine,Single Compound,,C9H5Cl3N4,275.5218
62-53-3,High,Aniline,Single Compound,,C6H7N,93.1265
142-04-1,Low,Aniline hydrochloride,Single Compound,,C6H8ClN,129.5874
134-29-2,Low,2-Methoxyaniline hydrochloride,Single Compound,,C7H10ClNO,159.6134
20265-97-8,Low,4-Methoxyaniline hydrochloride,Single Compound,,C7H10ClNO,159.6134
118-92-3,Low,Anthranilic acid,Single Compound,,C7H7NO2,137.136
84-65-1,Low,Anthraquinone,Single Compound,,C14H8O2,208.2121
140-57-8,Low,Aramite,Single Compound,,C15H23ClO4S,334.8587
10190-99-5,High,Sodium aristolochate-I,Single Compound,"ENZO: Aristolochic acid sodium salt; Sigma COA & MSDS: Aristolochic acid I sodium salt (MW 363.2);Aristolochic acid, sodium salt (77% AA I, 21% AA II)",C17H10NNaO7,363.2536
11096-82-5,High,Aroclor 1260,Mixture/Formulation,Polychlorinated biphenyl mixture; Mixture of Isomers; Polychlorinated biphenyl-60% chlorine (from supplier); mixture of chlorobiphenyls containing 60% Cl,,
1327-53-3,Low,Arsenic trioxide,Single Compound,"Arsenic oxide (As2O5) [1303-28-2],  Arsenic oxide (As2O5): H2O (3:5)",As4O6,395.6828
134-03-2,Low,Sodium L-ascorbate,Single Compound,,C6H7NaO6,198.106
50-81-7,High,L-Ascorbic acid,Single Compound,absolute stereochem,C6H8O6,176.1241
22839-47-0,Low,Aspartame,Single Compound,,C14H18N2O5,294.3031
50-78-2,Low,Aspirin,Single Compound,,C9H8O4,180.1574
68844-77-9,Low,Astemizole,Single Compound,,C28H31FN4O,458.5703
1912-24-9,Low,Atrazine,Single Compound,,C8H14ClN5,215.6833
51-55-8,Low,Atropine,Single Compound,,C17H23NO3,289.3694
2465-27-2,Low,Auramine hydrochloride,Single Compound,,C17H22ClN3,303.8297
34031-32-8,Low,Auranofin,Single Compound,,C20H34AuO9PS,678.4839
320-67-2,Low,5-Azacytidine,Single Compound,,C8H12N4O5,244.2047
3131-60-0,Low,6-Azacytidine,Single Compound,,C8H12N4O5,244.2047
115-02-6,Low,Azaserine,Single Compound,,C5H7N3O4,173.1268
446-86-6,Low,Azathioprine,Single Compound,,C9H7N7O2S,277.2626
123524-52-7,Low,Azelnidipine,Single Compound,,C33H34N4O6,582.6462
26628-22-8,Low,Sodium azide,Single Compound,,N3Na,65.0099
86-50-0,Low,Azinphos-methyl,Single Compound,,C10H12N3O3PS2,317.3243
103-33-3,Low,Azobenzene,Single Compound,,C12H10N2,182.2212
30516-87-1,Low,3'-Azido-3'-deoxythymidine,Single Compound,,C10H13N5O4,267.2413
144-02-5,Low,Sodium barbital,Single Compound,,C8H11N2NaO3,206.1743
67-52-7,Low,Barbituric acid,Single Compound,,C4H4N2O3,128.0862
10326-27-9,Low,Barium chloride dihydrate,Single Compound,,BaCl2H4O2,244.2635
92-87-5,Low,Benzidine,Single Compound,,C12H12N2,184.2371
531-85-1,Low,Benzidine dihydrochloride,Single Compound,,C12H14Cl2N2,257.159
50-32-8,Low,Benzo(a)pyrene,Single Compound,,C20H12,252.3093
532-32-1,Low,Sodium benzoate,Single Compound,,C7H5NaO2,144.1032
271-89-6,Low,"2,3-Benzofuran",Single Compound,,C8H6O,118.1326
91-76-9,Low,"6-Phenyl-1,3,5-triazine-2,4-diamine",Single Compound,,C9H9N5,187.2013
65-85-0,High,Benzoic acid,Single Compound,,C7H6O2,122.1213
119-53-9,Low,Benzoin,Single Compound,,C14H12O2,212.2439
106-51-4,Low,"1,4-Benzoquinone",Single Compound,,C6H4O2,108.0948
120-78-5,Low,"2,2'-Dithiobisbenzothiazole",Single Compound,,C14H8N2S4,332.4867
95-14-7,Low,"1,2,3-Benzotriazole",Single Compound,,C6H5N3,119.124
98-07-7,Low,Benzotrichloride,Single Compound,,C7H5Cl3,195.4736
613-94-5,Low,Benzoyl hydrazine,Single Compound,,C7H8N2O,136.1512
140-11-4,Low,Benzyl acetate,Single Compound,,C9H10O2,150.1745
100-51-6,Low,Benzyl alcohol,Single Compound,,C7H8O,108.1378
100-44-7,Low,Benzyl chloride,Single Compound,,C7H7Cl,126.5835
120-32-1,High,Clorophene,Single Compound,,C13H11ClO,218.6788
622-78-6,Low,Benzyl isothiocyanate,Single Compound,,C8H7NS,149.2129
3012-37-1,Low,Benzyl thiocyanate,Single Compound,,C8H7NS,149.2129
20570-96-1,Low,Benzylhydrazine dihydrochloride,Single Compound,,C7H12Cl2N2,195.0896
82657-04-3,Low,Bifenthrin,Single Compound,,C23H22ClF3O2,422.8678
92-52-4,Low,Biphenyl,Single Compound,,C12H10,154.2078
3296-90-0,Low,"2,2-Bis(bromomethyl)-1,3-propanediol",Single Compound,,C5H10Br2O2,261.9397
56-35-9,High,Bis(tributyltin)oxide,Single Compound,,C24H54OSn2,596.105
108-60-1,High,bis(2-Chloro-1-methylethyl) ether,Single Compound,,C6H12Cl2O,171.0649
111-44-4,Low,Bis(2-chloroethyl) ether,Single Compound,,C4H8Cl2O,143.0117
542-88-1,Low,Bis(chloromethyl) ether,Single Compound,,C2H4Cl2O,114.9586
76150-91-9,Low,"1,4-Bis[2-(3,5-dichloropyridyloxy)]benzene",Single Compound,,C16H8Cl4N2O2,402.0589
110-97-4,High,Diisopropanolamine,Single Compound,,C6H15NO2,133.1888
7787-59-9,Low,Bismuth oxychloride,Single Compound,,BiClO,260.4328
80-05-7,High,Bisphenol A,Single Compound,,C15H16O2,228.2863
1937-37-7,High,C.I. Direct Black 38,Single Compound,,C34H25N9Na2O7S2,781.728
3844-45-9,Low,FD&C Blue No. 1,Single Compound,,C37H34N2Na2O9S3,792.8484
860-22-0,High,C.I. Acid Blue 74,Single Compound,,C16H8N2Na2O8S2,466.3529
33229-34-4,High,HC Blue 2,Single Compound,,C12H19N3O5,285.2964
10043-35-3,High,Boric acid,Single Compound,,BH3O3,61.833
22260-51-1,Low,Bromocriptine mesylate,Single Compound,,C33H44BrN5O8S,750.7002
75-27-4,Low,Bromodichloromethane,Single Compound,,CHBrCl2,163.8286
74-96-4,Low,Bromoethane,Single Compound,,C2H5Br,108.9651
540-51-2,Low,2-Bromo-1-ethanol,Single Compound,,C2H5BrO,124.9645
51333-22-3,High,Budesonide,Single Compound,absolute stereochem,C25H34O6,430.5339
85-68-7,Low,Butyl benzyl phthalate,Single Compound,,C19H20O4,312.3597
109-69-3,Low,1-Chlorobutane,Single Compound,,C4H9Cl,92.5673
88-85-7,High,Dinoseb,Single Compound,,C10H12N2O5,240.2127
94-26-8,High,Butylparaben,Single Compound,,C11H14O3,194.2271
11/6/17,Low,Butyl-N-(4-hydroxybutyl)nitrosamine,Single Compound,,C8H18N2O2,174.2407
88-26-6,Low,di-tert-Butyl-4-hydroxymethyl phenol,Single Compound,,C15H24O2,236.3499
2409-55-4,Low,2-tert-Butyl-4-methylphenol,Single Compound,,C11H16O,164.2441
